Client ID,Name,Age,Occupation,Nationality,GenderId,Properties Owned,Fee StructureId,Loyalty ClassificationId
IND67912,Mildred Patterson,56,Senior Financial Analyst,Asian,1,3,1,1
IND33202,Fred Ford,82,Engineer IV,European,2,0,3,1
IND19321,Maria Gardner,69,Engineer IV,European,2,3,2,1
IND81583,Judith Matthews,64,Media Manager I,European,1,1,1,3
IND46105,Jack Sullivan,38,Statistician III,Asian,2,3,3,1
IND21098,Jason Woods,83,Community Outreach Specialist,Asian,2,2,2,1
IND47710,Jesse Richards,41,Financial Advisor,Asian,1,0,2,1
IND42043,William Cruz,40,Health Coach IV,European,2,0,1,4
IND49707,Gary Garcia,36,Actuary,European,2,1,2,4
IND27394,Nancy James,50,Research Nurse,European,2,0,2,2
IND86832,Laura Gray,68,Analyst Programmer,European,2,0,2,2
IND34869,Shawn Lane,50,Engineer III,European,1,0,2,1
IND24876,Albert Woods,31,Research Assistant II,Asian,2,1,1,3
IND87901,Daniel Welch,79,Web Designer III,European,1,2,2,3
IND56584,Barbara Gomez,30,Information Systems Manager,African,1,2,1,3
IND43476,Richard Reynolds,42,Systems Administrator III,European,2,3,1,4
IND92423,Larry Kelley,24,Research Assistant I,European,1,1,1,1
IND64291,Victor Black,65,Media Manager III,African,2,1,1,1
IND49463,Shawn Bennett,49,Media Manager II,European,2,0,2,4
IND58198,Jeffrey James,69,Senior Financial Analyst,European,2,2,2,1
IND90041,Richard Sanchez,55,Developer II,Asian,1,0,1,4
IND55402,Howard Simmons,70,Automation Specialist IV,European,2,0,1,1
IND58643,Lillian Fisher,33,Software Engineer IV,European,1,2,2,3
IND17528,Bobby Bradley,66,Quality Engineer,Asian,2,0,2,4
IND98400,Mark Henderson,28,Speech Pathologist,Asian,2,1,2,1
IND43327,Juan Hamilton,74,Human Resources Assistant IV,European,2,3,2,3
IND77723,Bruce Peterson,65,Tax Accountant,American,1,2,1,4
IND33585,Philip Cox,64,VP Marketing,European,2,3,1,1
IND27105,Bruce Greene,43,Database Administrator I,European,1,3,2,1
IND86081,Alice Gibson,22,Marketing Manager,European,2,3,2,4
IND47439,Samuel Myers,51,Office Assistant II,American,2,1,1,1
IND27269,Kathleen Bradley,75,VP Quality Control,Asian,1,2,3,3
IND97061,Bobby Ryan,50,Chemical Engineer,European,2,2,3,1
IND94872,Steven Miller,34,Programmer Analyst IV,European,1,1,3,3
IND86593,Gregory Johnston,73,Web Developer I,European,1,2,1,4
IND84908,Craig Bell,63,Safety Technician I,European,2,3,2,1
IND32885,Stephanie Mills,77,Budget/Accounting Analyst II,European,2,2,3,3
IND70495,Melissa GoPKRales,66,Chief Design Engineer,Australian,2,1,2,2
IND45220,Donald Alexander,73,Civil Engineer,Asian,2,2,2,1
IND49684,Ralph Cunningham,70,Web Designer I,Asian,2,3,1,1
IND26273,Gregory Cunningham,55,Product Engineer,European,2,2,2,4
IND99234,Diana Meyer,85,Systems Administrator IV,European,2,3,1,4
IND41611,Terry Bowman,34,VP Accounting,European,2,0,1,3
IND96915,Mary Arnold,81,Product Engineer,American,2,2,2,2
IND59595,Charles Porter,81,Social Worker,Asian,2,1,2,2
IND20812,Jason Morgan,47,Budget/Accounting Analyst IV,Asian,2,3,1,1
IND59202,Kathryn Campbell,41,VP Sales,European,1,1,3,1
IND19395,Jeremy Fowler,52,Administrative Assistant II,Asian,1,2,3,1
IND38441,Stephen Stewart,73,Business Systems Development Analyst,European,2,2,1,1
IND80195,Jane Price,31,Civil Engineer,American,2,0,2,1
IND90057,Roy Snyder,17,Office Assistant I,European,1,0,2,4
IND21309,Joshua Wheeler,81,Web Designer I,American,1,0,1,1
IND33489,Thomas Barnes,64,Marketing Manager,European,2,2,1,3
IND27091,Rose Myers,47,Tax Accountant,European,2,1,3,4
IND37844,Scott Patterson,22,Food Chemist,African,1,1,2,4
IND47299,Carl Price,58,Database Administrator III,European,2,0,3,3
IND19507,Benjamin Wood,30,Administrative Officer,African,2,0,1,3
IND73841,Carlos Ray,66,Automation Specialist III,American,1,2,1,4
IND79955,Beverly Arnold,28,Office Assistant II,European,2,3,1,1
IND95385,Johnny Campbell,79,Assistant Manager,European,2,2,2,3
IND73492,Lori Wilson,81,Geologist I,African,2,3,1,1
IND38646,Mildred Mason,70,Actuary,European,1,0,2,1
IND89482,Sean Hernandez,40,Health Coach I,European,2,3,2,3
IND27026,Wanda Henderson,57,Human Resources Assistant I,European,2,1,3,1
IND69949,James Payne,51,Systems Administrator IV,Australian,1,3,1,3
IND84825,Christina Powell,48,Developer III,European,2,2,2,4
IND41067,Louis Ramirez,45,Office Assistant I,European,1,1,1,1
IND98674,Jesse Rice,39,Paralegal,American,1,3,1,4
IND97660,Anne Burton,65,Developer I,Asian,2,3,1,4
IND82676,Chris Wallace,78,Computer Systems Analyst II,American,2,1,1,3
IND88784,Joshua Webb,34,Web Developer I,European,1,2,1,4
IND28479,Betty Hall,53,Safety Technician III,European,2,2,1,3
IND23784,Robert Simmons,22,Statistician IV,Asian,2,2,2,1
IND42646,Chris Ross,17,Recruiter,European,1,2,1,1
IND53717,Rebecca Bowman,50,Junior Executive,European,1,0,1,1
IND96295,Tina Smith,48,Executive Secretary,European,1,2,2,2
IND41811,Phillip Ramirez,65,Librarian,Asian,2,1,2,2
IND45638,Timothy Johnston,26,Geologist II,European,1,1,1,4
IND70297,Matthew Snyder,38,Web Developer I,American,2,1,2,1
IND79201,Christine Allen,52,Human Resources Assistant I,European,2,2,1,4
IND17019,Charles Richards,28,Assistant Manager,Asian,2,0,2,3
IND20282,Timothy Tucker,23,Programmer Analyst III,American,2,0,2,3
IND30151,Jose Thomas,65,Statistician IV,American,1,2,2,4
IND45419,Bobby Kim,75,Health Coach IV,African,2,2,2,1
IND78162,Nicole Sanchez,75,Media Manager III,European,2,3,1,3
IND66784,Adam Cook,33,Developer II,European,1,2,1,1
IND97262,Angela Gilbert,72,Software Engineer II,Australian,2,0,2,4
IND33193,Scott Ward,27,Accountant IV,European,2,0,1,1
IND94106,Steve Price,49,Help Desk Technician,American,1,2,2,2
IND15556,Lawrence Morales,22,Paralegal,European,1,0,1,1
IND20631,Catherine Weaver,50,Associate Professor,European,1,0,3,1
IND13898,Evelyn Taylor,70,Nuclear Power Engineer,European,2,3,1,2
IND46880,Judith Schmidt,71,Analog Circuit Design manager,European,1,2,2,4
IND57163,Philip Hansen,74,Staff Accountant III,European,1,3,1,3
IND42982,Anthony Wagner,41,Biostatistician III,Australian,1,3,1,1
IND51913,Kenneth Cole,18,Community Outreach Specialist,European,2,3,1,1
IND76764,Matthew Marshall,63,Dental Hygienist,European,1,2,1,1
IND82314,Scott Tucker,49,VP Product Management,American,2,1,2,1
IND82248,Bruce Hicks,72,Analog Circuit Design manager,Asian,1,0,2,3
IND49091,Howard Hill,71,Director of Sales,European,1,2,1,3
IND24529,Earl Murray,40,Programmer I,Asian,2,1,2,1
IND93171,Jesse Wright,79,Statistician II,Asian,1,2,3,1
IND71818,Beverly Taylor,47,Statistician III,American,2,0,3,4
IND35821,Irene Barnes,36,Chief Design Engineer,European,1,3,1,4
IND44974,Donna Martin,77,Media Manager III,European,2,3,2,4
IND24341,Jacqueline Wells,46,Accounting Assistant I,Asian,1,3,2,1
IND60293,Frances Cox,66,Statistician I,European,2,0,1,1
IND46675,Jose Williamson,31,Data Coordiator,Asian,1,0,1,4
IND17984,Gary Bell,18,Office Assistant IV,European,2,1,1,1
IND23002,Phyllis Berry,44,Account Representative II,Asian,1,1,2,1
IND70737,Russell Moore,74,Structural Analysis Engineer,European,2,1,2,1
IND17926,Ryan Austin,21,Safety Technician IV,Asian,2,2,1,1
IND30891,Douglas Freeman,28,Geological Engineer,American,1,3,3,4
IND51261,Ernest Davis,32,Help Desk Operator,Australian,2,3,2,3
IND69251,Carl King,76,Media Manager I,European,1,1,1,1
IND56740,George Cooper,62,Programmer Analyst I,European,2,0,3,3
IND95612,Nicholas Meyer,57,Compensation Analyst,European,2,0,2,3
IND35099,Thomas Hanson,56,Account Representative II,African,1,1,3,4
IND42857,Joe Baker,27,Research Assistant II,Australian,2,0,1,1
IND32603,Fred Baker,18,Human Resources Assistant IV,European,2,2,2,1
IND62569,Karen Reynolds,20,Research Assistant IV,European,2,3,2,2
IND35181,Patrick Stone,71,Health Coach III,American,1,3,2,2
IND99256,Ronald Riley,83,Geologist III,African,1,3,1,3
IND65151,Jose Martin,47,Programmer I,European,2,1,3,1
IND81182,Jonathan Larson,49,Statistician II,African,1,1,1,4
IND89708,Jose Romero,61,Developer II,Asian,1,3,3,1
IND63717,Karen Carr,40,Human Resources Assistant IV,European,2,0,3,4
IND71868,Earl Richardson,74,Environmental Tech,European,2,0,3,4
IND32785,Aaron Wilson,18,Programmer I,European,2,0,2,4
IND79142,Mark Patterson,31,Programmer II,European,2,3,2,1
IND59824,Daniel Porter,37,Payment Adjustment Coordinator,American,1,0,1,1
IND37278,Charles Thompson,32,Administrative Assistant III,European,1,0,3,1
IND34859,David Fernandez,38,Recruiter,European,1,0,1,1
IND50054,Catherine Walker,28,Office Assistant II,European,1,3,2,2
IND62645,Jimmy Evans,28,Structural Engineer,American,2,2,1,4
IND41646,Joseph Gray,64,Computer Systems Analyst IV,American,2,1,1,4
IND92575,Bobby Warren,85,Software Test Engineer I,Asian,2,0,1,4
IND36120,Christine Butler,28,Recruiter,Australian,1,0,1,4
IND85936,Timothy Price,34,Staff Scientist,Asian,1,3,3,3
IND49172,Jean Cooper,41,Graphic Designer,African,2,0,3,4
IND34576,Patrick Howard,48,Web Designer II,Asian,1,1,2,1
IND75884,Samuel Gomez,59,Account Representative III,European,1,2,3,4
IND41393,Barbara Smith,66,Quality Engineer,Australian,1,0,1,4
IND67868,Philip Robinson,71,Teacher,Asian,1,0,1,1
IND82789,Charles Kelly,76,Administrative Assistant IV,Asian,2,3,1,4
IND77478,Ashley Greene,53,Social Worker,European,2,2,1,3
IND57043,Richard Knight,69,Professor,American,1,3,3,1
IND68936,Thomas Hernandez,51,Accountant IV,European,2,3,1,1
IND44846,Jessica Thompson,47,Geological Engineer,European,1,0,1,2
IND55021,Brandon Morrison,75,Tax Accountant,European,1,2,1,1
IND30407,Stephanie Oliver,81,Account Representative I,Australian,2,2,1,4
IND15466,Karen Meyer,76,Associate Professor,Asian,1,2,3,1
IND15083,Frank Ferguson,82,Cost Accountant,European,1,2,1,3
IND37063,Jesse Dunn,71,Safety Technician III,Australian,2,0,2,1
IND78066,Linda Long,76,Biostatistician I,American,1,1,3,1
IND87900,Joan Martinez,22,Senior Editor,European,2,1,3,1
IND47950,Justin Hart,52,Office Assistant III,European,1,1,2,1
IND84355,Brandon Davis,59,Administrative Officer,European,1,0,1,4
IND45102,Lisa Alexander,21,Physical Therapy Assistant,American,1,0,1,1
IND56828,Justin Miller,61,Accounting Assistant II,Asian,2,1,2,3
IND28199,Wayne Lane,56,Accounting Assistant III,American,2,3,1,4
IND67109,Terry Watson,56,Computer Systems Analyst III,African,2,3,2,1
IND85846,Johnny Torres,28,Professor,European,1,2,2,1
IND76900,Jose Fox,70,Web Developer III,European,1,0,3,3
IND87656,Carolyn Rose,27,Food Chemist,Australian,2,1,1,4
IND76306,Louis James,21,Developer IV,Australian,2,0,3,1
IND42135,Kevin Kelley,30,Environmental Tech,European,2,0,1,1
IND15894,Kevin Medina,43,Human Resources Assistant IV,Asian,1,2,2,1
IND81866,Mark Nelson,47,Safety Technician I,European,1,1,1,1
IND69783,Judith Greene,26,Legal Assistant,Australian,2,2,1,3
IND67788,Shirley Henry,40,Computer Systems Analyst II,American,1,2,2,4
IND29999,Jerry Oliver,19,Speech Pathologist,Asian,2,0,1,4
IND50590,Michael Cunningham,51,Web Designer II,Asian,1,1,3,4
IND64905,Angela Pierce,31,Paralegal,Asian,2,3,1,3
IND50588,Nicholas Watson,68,Data Coordiator,European,1,3,1,4
IND24058,Barbara Harper,41,Budget/Accounting Analyst IV,Asian,2,1,1,3
IND87992,Walter Matthews,36,Geologist I,European,1,1,1,1
IND90735,Jerry Graham,80,Staff Accountant IV,European,1,0,2,1
IND18126,Susan Thompson,63,Research Assistant III,Asian,1,0,2,4
IND95672,Kenneth Freeman,55,Systems Administrator I,European,1,3,2,4
IND59778,Lillian Nelson,79,Professor,African,2,0,1,4
IND74622,Richard Edwards,49,Safety Technician I,Asian,1,1,1,1
IND40781,Phillip GoPKRales,81,Mechanical Systems Engineer,Asian,1,3,1,1
IND39173,Eugene Austin,40,Data Coordiator,European,2,1,1,4
IND41835,Joseph Burns,31,Staff Accountant IV,African,1,2,1,1
IND13004,Ralph West,83,Web Designer III,European,2,1,1,1
IND69109,Cheryl Gordon,49,Geological Engineer,American,2,0,1,3
IND95810,Jimmy Andrews,75,Administrative Assistant I,American,2,3,1,3
IND81099,Denise Hayes,48,Accountant II,European,2,1,1,1
IND76632,Christopher Harper,28,Software Engineer II,Australian,1,1,3,1
IND55460,Mildred Hall,39,Human Resources Manager,American,2,1,2,1
IND64186,Timothy Austin,25,Geologist I,European,2,3,2,4
IND65738,John Torres,41,Help Desk Operator,European,2,1,2,1
IND38016,Todd Russell,48,Design Engineer,Asian,2,2,2,2
IND97456,Robert Sanchez,64,Research Associate,European,2,0,1,2
IND94167,Larry Phillips,60,Financial Analyst,European,1,2,1,3
IND54473,Lawrence Mitchell,44,Computer Systems Analyst IV,European,1,0,1,3
IND32547,Wayne Hart,17,Help Desk Technician,Asian,2,1,1,1
IND78611,Peter Porter,40,Chief Design Engineer,Asian,2,1,2,2
IND15955,Susan Dunn,20,Programmer Analyst IV,Asian,2,2,2,1
IND15581,Jonathan Hunter,35,Financial Advisor,Australian,2,2,2,4
IND29679,Lawrence Harrison,33,Software Engineer III,American,1,3,1,3
IND30445,Beverly Carter,37,Junior Executive,Australian,1,3,1,4
IND90272,Betty Meyer,45,Database Administrator III,Asian,1,3,1,3
IND25035,Carlos King,65,Research Associate,Asian,2,1,2,1
IND25593,Anna Reed,56,Systems Administrator IV,American,2,1,2,3
IND79190,Annie James,63,Research Assistant I,Asian,1,2,1,1
IND31341,Joseph Kennedy,45,Budget/Accounting Analyst III,Asian,2,0,3,3
IND49233,Kenneth Perkins,48,Computer Systems Analyst I,American,2,3,1,1
IND82834,Brandon George,37,Analog Circuit Design manager,European,1,1,1,1
IND64549,Roger Hunter,77,Human Resources Manager,European,2,3,3,3
IND63160,Clarence Baker,84,Web Designer IV,Australian,2,1,2,1
IND99412,Robert Lane,55,Database Administrator III,European,2,0,1,1
IND41977,Billy Gutierrez,75,Human Resources Assistant III,Australian,2,1,2,4
IND54849,Kevin Harris,79,Engineer I,Asian,2,1,2,1
IND73662,Clarence Moreno,23,Computer Systems Analyst I,Asian,2,0,3,4
IND58104,Douglas West,76,Speech Pathologist,European,2,1,3,2
IND42259,Jeremy Sullivan,32,Database Administrator III,European,1,0,1,3
IND96983,Roger Williams,22,Project Manager,Asian,1,3,3,1
IND15092,Eric Mendoza,77,Editor,American,2,1,2,4
IND52181,Nicholas Mitchell,73,Food Chemist,Asian,2,1,1,1
IND14614,Robert Washington,65,Staff Accountant II,European,1,2,2,1
IND75661,Karen Bradley,78,Database Administrator II,Asian,1,2,3,1
IND63878,Lillian Garrett,81,Media Manager III,Asian,1,2,1,4
IND60682,Ralph Cole,46,Health Coach III,European,2,1,1,4
IND71119,Bobby Gardner,71,Staff Scientist,American,1,1,2,4
IND31796,Heather Welch,26,Account Executive,European,1,2,1,1
IND15290,Chris Nelson,79,Database Administrator II,Asian,2,0,3,4
IND69222,Ernest Reynolds,56,Accounting Assistant I,Asian,1,1,1,4
